p (mbar),T (degC),rh (%),Wx,Wy,Day sin,Day cos,Year sin,Year cos
992.27,22.62,58.82,-4.401652930265298,-1.2289635802117636,0.7660444431182317,-0.6427876096874288,-0.6024474845528573,-0.7981585233247432
992.18,22.79,58.61,-5.119406879332063,-1.371740939043358,0.7372773368115725,-0.6755902076140796,-0.6025428312477592,-0.7980865470059838
992.16,23.14,58.27,-4.056538613184272,-1.0490922169881103,0.7071067811904005,-0.7071067811826945,-0.6026381693434665,-0.798014559297232
992.08,23.55,57.38,-3.743119235350383,-1.130114326052885,0.6755902076221143,-0.73727733680421,-0.6027334988385734,-0.7979425601995493
991.99,23.7,57.52,-5.0157548898987665,-2.6333301890299676,0.642787609695777,-0.7660444431112268,-0.6028288197316739,-0.7978705497139977
992.01,23.85,57.65,-2.9925132393771765,-1.4145545278116067,0.6087614290093647,-0.7933533402907409,-0.6029241320214984,-0.7977985278415364
991.95,24.36,55.51,-1.9969972654343422,-2.07518720163935,0.5735764363544185,-0.8191520442866305,-0.6030194357066413,-0.7977264945832273
991.88,24.51,54.37,-2.6766314290353423,-2.5400283843099514,0.5372996083530833,-0.843391445808898,-0.6031147307856971,-0.7976544499401329
991.74,24.74,53.45,-4.398693435722345,-2.7166884360436225,0.5000000000092897,-0.8660254037790752,-0.6032100172573965,-0.7975823939132128
991.65,24.87,53.09,-4.809424610419086,-2.9936031662020954,0.4617486132345725,-0.8870108331784619,-0.6033052951203343,-0.7975103265035296
991.66,24.93,52.72,-2.0585188023149383,-2.9289759883815836,0.4226182617432233,-0.9063077870354731,-0.6034005643731053,-0.797438247712146
991.61,24.92,52.26,-1.649438014134405,-3.7754144457964283,0.38268343237071595,-0.9238795325089563,-0.6034958250144405,-0.7973661575400223
991.56,24.74,52.87,-2.0004645596661357,-3.521454464496137,0.3420201433344969,-0.9396926207826952,-0.6035910770429354,-0.7972940559882216
991.43,24.63,52.86,-4.15962132613605,-3.490336720597908,0.300705799516385,-0.9537169507444081,-0.60368632045723,-0.7972219430577727
991.4,24.66,52.59,-4.109222634054376,-3.4725623599548525,0.25881904510392395,-0.9659258262886923,-0.6037815552559201,-0.7971498187497393
991.26,25.06,51.8,-4.476228145108283,-3.472118458944114,0.21643961394274777,-0.9762960071189036,-0.6038767814377373,-0.797077683065082
991.22,25.31,51.52,-3.1113103613387247,-2.850990676138084,0.1736481776748705,-0.984807753010808,-0.603971999001277,-0.7970055360048646
991.08,25.4,50.51,-4.617698962802259,-3.281627841321275,0.13052619223132195,-0.9914448613723267,-0.6040672079451349,-0.7969333775701511
991.16,24.96,51.19,-4.196393380429688,-3.5087294846832937,0.08715574274777836,-0.996194698091735,-0.6041624082680431,-0.7968612077619027
991.21,24.95,51.9,-2.915874509685647,-2.7381884237147536,0.043619387368758346,-0.9990482215817084,-0.6042575999685976,-0.7967890265811838
991.14,25.28,51.22,-4.886139936059114,-2.8666812737463916,6.730571660752496e-12,-1.0,-0.6043527830453944,-0.7967168340290586
991.13,25.15,51.51,-4.881129193901244,-2.875204826172387,-0.04361938735531002,-0.9990482215822956,-0.6044479574971658,-0.7966446301064889
991.13,25.46,50.6,-5.020343276344831,-2.624572038954015,-0.08715574274886498,-0.99619469809164,-0.6045431233225081,-0.7965724148145394
991.08,25.53,49.47,-4.646160376824919,-3.241206373068848,-0.13052619221797596,-0.9914448613740837,-0.6046382805200181,-0.7965001881542753
990.95,25.8,48.57,-4.871063118596289,-2.8922256299692433,-0.17364817766161386,-0.9848077530131455,-0.6047334290884281,-0.7964279501266585
990.85,25.81,47.64,-4.992584055948182,-2.677000082983188,-0.21643961392960573,-0.9762960071218172,-0.6048285690263349,-0.7963557007327543
990.82,25.91,46.62,-5.024916369954626,-2.6158058939764657,-0.2588190450909215,-0.9659258262921763,-0.6049237003323356,-0.7962834399736282
990.78,25.92,47.0,-4.987904207629403,-2.685709704251912,-0.30070579950354687,-0.9537169507484559,-0.6050188230051627,-0.7962111678502428
990.7,26.11,47.24,-5.006532294452447,-2.6508223977861487,-0.34202014332184755,-0.9396926207872992,-0.6051139370434139,-0.7961388843636639
990.65,26.17,46.56,-4.96903301739216,-2.7204661130156635,-0.38268343235827945,-0.9238795325141077,-0.6052090424456861,-0.7960665895149575
990.56,26.25,45.78,-4.964277342448486,-2.729134563786217,-0.42261826173102335,-0.906307787041162,-0.6053041392107127,-0.7959942833050864
990.58,26.46,46.15,-4.390654957388998,-3.074369698841606,-0.46174861323554006,-0.8870108331779583,-0.6053992273370912,-0.7959219657351171
990.55,26.9,44.41,-3.141529480954789,-2.7116955065589377,-0.49999999999763195,-0.8660254037858058,-0.6054943068234193,-0.7958496368061161
990.48,27.19,42.34,-4.500358825333143,-3.440784132032419,-0.5372996083417303,-0.8433914458161307,-0.6055893776684307,-0.7957772965190467
990.58,26.49,43.79,-1.9652874919973828,-3.959045980258203,-0.5735764363433917,-0.8191520442943515,-0.6056844398707231,-0.7957049448749759
990.49,26.91,41.83,-2.6389353175595742,-3.189924825091768,-0.6087614289986853,-0.7933533402989356,-0.6057794934288947,-0.7956325818749705
990.33,26.91,40.78,-4.690961795636431,-3.176019904200763,-0.6427876096854651,-0.7660444431198794,-0.6058745383416794,-0.7955602075199947
990.36,27.03,40.52,-2.101208822657315,-3.5671447242279166,-0.6755902076121897,-0.7372773368133042,-0.6059695746076754,-0.7954878218111153
990.22,27.25,38.19,-4.2135234898160565,-3.68866097666461,-0.707106781180882,-0.707106781192213,-0.6060646022254814,-0.7954154247494003
990.11,27.17,36.05,-4.439623435750882,-3.5188021752766274,-0.7372773368024782,-0.6755902076240041,-0.6061596211938316,-0.7953430163358138
990.19,27.38,34.49,-2.4647257046259266,-4.6354748625093665,-0.7660444431189328,-0.6427876096865931,-0.6062546315113245,-0.7952705965714236
990.19,27.46,36.15,-1.4719467624210083,-2.591094889925553,-0.7933533402891805,-0.6087614290113984,-0.6063496331766044,-0.7951981654572634
990.18,27.13,36.66,-0.743642395376146,-3.6551191482356944,-0.8191520442851602,-0.5735764363565182,-0.6064446261882701,-0.7951257229944013
990.2,27.06,34.78,-1.0632339234439339,-3.5439432309276655,-0.8433914458075207,-0.5372996083552453,-0.6065396105450563,-0.7950532691838021
990.12,27.25,34.88,-1.9289061218088663,-3.0868950700093905,-0.8660254037850695,-0.49999999999890726,-0.6066345862455624,-0.7949808040265345
990.18,27.2,34.24,-1.0411203370466542,-2.9729729974871724,-0.8870108331772782,-0.46174861323684624,-0.6067295532883876,-0.7949083275236671
990.21,27.51,33.8,-0.626305892744808,-2.0358391215204428,-0.9063077870343897,-0.42261826174554645,-0.606824511672267,-0.7948358396761652
990.19,27.14,33.51,-1.4936103246632821,-3.678318664561194,-0.9238795325079754,-0.38268343237308416,-0.6069194613958002,-0.794763340485098
990.17,26.68,34.5,-0.7057835032223391,-3.4383091260936967,-0.9396926207818185,-0.3420201433369056,-0.607014402457587,-0.7946908299515345
990.17,26.46,34.46,-1.099786015487222,-2.973107922719715,-0.9537169507480131,-0.3007057995049513,-0.6071093348563625,-0.7946183080764405
990.2,26.44,35.04,-0.07748695356841989,-3.6991885288569284,-0.9659258262880288,-0.25881904510639997,-0.6072042585907271,-0.7945457748608857
990.23,26.32,36.29,0.16233055602597912,-2.81532392285156,-0.9762960071183489,-0.21643961394525035,-0.6072991736592808,-0.7944732303059397
990.25,26.41,37.28,-0.20584749459749682,-2.4513724337537806,-0.9848077530103628,-0.1736481776773949,-0.6073940800607591,-0.7944006744125688
990.28,26.3,38.42,0.2975768780785265,-2.230234965565969,-0.9914448613738914,-0.13052619221943593,-0.6074889777937628,-0.7943281071818429
990.19,26.36,38.97,-0.003665189568386606,-2.099996801517904,-0.9961946980915116,-0.08715574275033194,-0.6075838668568919,-0.7942555286148323
990.21,25.9,39.81,-0.4847464978091131,-2.6154580541201193,-0.9990482215815966,-0.043619387371319256,-0.6076787472488829,-0.7941829387125037
990.23,25.59,40.56,-0.6393017650235993,-1.9793163600692312,-1.0,-9.293915812347014e-12,-0.6077736189683364,-0.7941103374759275
990.22,25.1,40.51,-0.5151379144474514,-2.2313074483581885,-0.9990482215824074,0.04361938735274911,-0.6078684820138532,-0.7940377249061746
990.26,24.84,39.36,-0.34806985369000226,-1.878016873447153,-0.9961946980918633,0.0871557427463114,-0.6079633363841699,-0.793965101004212
990.3,24.8,37.35,-0.06673766266896429,-1.5285437790202425,-0.9914448613744182,0.13052619221543454,-0.6080581820778875,-0.793892465771111
990.35,24.91,35.49,0.09523572167437605,-1.5570902855381126,-0.9848077530135906,0.17364817765908946,-0.6081530190936074,-0.7938198192079424
990.41,24.79,37.1,0.028272898428398672,-1.619753266153354,-0.976296007122372,0.21643961392710312,-0.6082478474300663,-0.7937471613156741
990.46,24.53,38.88,0.08057743134731518,-1.4878196387860554,-0.9659258262890734,0.2588190451025016,-0.6083426670858658,-0.7936744920953775
990.63,24.18,42.9,1.0663821732185663,-1.0406387752921988,-0.9537169507492267,0.30070579950110216,-0.6084374780596075,-0.7936018115481244
990.9,23.09,52.27,0.4166535910673969,-1.8640010153030073,-0.939692620788176,0.34202014331943875,-0.6085322803500284,-0.7935291196748828
991.09,21.81,57.26,0.1151391037344767,-2.1969849764600626,-0.9238795325150886,0.38268343235591123,-0.6086270739557306,-0.7934564164767247
991.3,21.01,60.01,0.3581533047176708,-2.140239755335792,-0.9063077870360954,0.4226182617418887,-0.6087218588753162,-0.7933837019547224
991.45,20.56,61.61,0.47093755362916784,-1.5500380061733245,-0.8870108331791419,0.4617486132332663,-0.6088166351075224,-0.7933109761098444
991.58,20.17,62.92,-0.16186629890784401,-1.7123665791172975,-0.8660254037870875,0.49999999999541206,-0.6089114026509517,-0.793238238943163
991.67,19.9,63.87,0.3875193040008019,-1.6141340678601435,-0.8433914458175079,0.5372996083395684,-0.6090061615042515,-0.7931654904557167
991.85,19.7,64.46,-0.0050963510662266,-1.459991105180374,-0.8191520442958218,0.573576436341292,-0.6091009116660244,-0.793092730648578
992.01,19.55,64.84,0.604274309263876,-0.7330433542183337,-0.7933533402916374,0.6087614290081965,-0.6091956531350085,-0.7930199595227162
992.16,19.4,65.16,0.6286240601538424,-0.46177027946339116,-0.7660444431215271,0.6427876096835015,-0.6092903859098062,-0.7929471770792045
992.29,19.3,65.46,1.0839169560564894,0.7533419093434498,-0.737277336815036,0.6755902076102998,-0.609385109989021,-0.7928743833191162
992.4,19.14,66.0,-0.0016755152312622134,0.9599985378367561,-0.7071067811940256,0.7071067811790694,-0.6094798253713907,-0.792801578243421
992.49,18.97,66.34,-0.15551675718145855,-1.028306636288886,-0.6755902076151653,0.7372773368105776,-0.6095745320555187,-0.7927287618531924
992.47,18.84,66.61,-0.00637037091381271,-0.729972203836845,-0.6427876096885567,0.7660444431172851,-0.6096692300400083,-0.7926559341495044
992.51,18.74,66.97,0.3675029689861806,-0.38189208919057543,-0.608761429013432,0.79335334028762,-0.6097639193235981,-0.792583095133327
992.62,18.74,67.1,0.4408644762502116,0.34530930132364906,-0.573576436358618,0.8191520442836899,-0.6098585999048917,-0.7925102448057345
992.67,18.64,67.6,0.2767684564972864,0.4164123214893019,-0.5372996083574071,0.8433914458061434,-0.6099532717824928,-0.7924373831678011
992.77,18.58,67.44,0.3052150878464558,-0.5964425790894546,-0.5000000000011272,0.8660254037837879,-0.6100479349551404,-0.7923645102204975
992.81,18.44,66.84,0.5517824143560924,-0.41428995547486,-0.4617486132391199,0.8870108331760946,-0.6101425894214384,-0.7922916259648981
992.86,18.34,66.4,0.19458115899231332,-0.6097033480022954,-0.42261826174786965,0.9063077870333064,-0.610237235179991,-0.792218730402078
992.89,18.19,66.19,0.30352502404015014,-0.44662351010826373,-0.3826834323754524,0.9238795325069944,-0.6103318722295374,-0.7921458235330081
992.92,18.09,65.74,0.54504075984316,-0.07369240198006057,-0.34202014332564007,0.9396926207859189,-0.6104265005686821,-0.7920729053587635
992.86,17.95,65.62,-0.24823416161518885,-0.6971225150625996,-0.300705799507396,0.9537169507472423,-0.6105211201960294,-0.7919999758804197
992.9,17.83,65.88,-0.3340135663304559,-0.5104262312099664,-0.258819045108876,0.9659258262873655,-0.6106157311103192,-0.791927035098948
992.94,17.74,66.13,-0.2570312816100039,-0.7258339481409773,-0.21643961394775293,0.976296007117794,-0.610710333310156,-0.7918540830154241
992.96,17.68,66.19,-0.29047147421637626,-0.883474007917927,-0.17364817766558846,0.9848077530124447,-0.6108049267941448,-0.7917811196309239
992.92,17.63,66.06,-0.4842543556228681,-1.0979516014197896,-0.13052619222197734,0.9914448613735569,-0.6108995115610255,-0.7917081449464193
992.9,17.6,66.11,-0.28891522073181886,-0.8944987396466717,-0.08715574275288554,0.9961946980912882,-0.6109940876094033,-0.7916351589629864
992.88,17.56,66.29,-0.3607501192818506,-0.7363826121237047,-0.04361938737388016,0.9990482215814848,-0.6110886549378836,-0.7915621616817016
992.91,17.54,66.51,-0.3024781908727491,-0.43520908084086296,-1.1857259963941533e-11,1.0,-0.6111832135452064,-0.7914891531035372
992.83,17.54,66.41,0.1083114871503355,-0.5901428824880316,0.04361938736472627,0.9990482215818843,-0.6112777634299776,-0.7914161332295699
992.8,17.49,66.66,-0.18324032277309632,-0.8197700800285477,0.0871557427437578,0.9961946980920867,-0.6113723045908026,-0.7913431020608765
992.81,17.41,66.85,0.1386158158986535,-0.7065307180744165,0.13052619221289313,0.9914448613747529,-0.6114668370264222,-0.7912700595984299
992.77,17.42,67.04,-0.020154039788606266,-0.549630616578261,0.17364817765656507,0.9848077530140358,-0.6115613607354422,-0.7911970058433072
992.79,17.4,67.05,-0.13523691183191522,-0.41870153770695273,0.21643961393880753,0.9762960071197772,-0.6116558757165137,-0.791123940796551
992.8,17.34,67.25,-0.06355186753955491,-0.8075030403238337,0.25881904510002557,0.9659258262897369,-0.6117503819682428,-0.7910508644592388
992.77,17.28,67.66,-0.22326980257327086,-0.789018754694014,0.3007057994986575,0.9537169507499975,-0.6118448794893708,-0.7909777768323439
992.76,17.25,67.97,-0.2006618202108239,-0.6287565776273668,0.34202014331703,0.9396926207890526,-0.6119393682785039,-0.7909046779169444
992.66,17.19,68.3,-0.1588401721115086,-0.8248453186650127,0.382683432353543,0.9238795325160696,-0.6120338483342488,-0.7908315677141181
992.71,17.11,68.83,-0.38453662756478224,-0.9662978743954186,0.4226182617395655,0.9063077870371787,-0.612128319655347,-0.7907584462248389
992.67,17.07,69.1,-0.408455460255661,-1.1283457524125022,0.4617486132309926,0.8870108331803255,-0.6122227822404052,-0.7906853134501851
992.62,17.06,69.48,-0.452447800037449,-1.1973683594622302,0.4999999999931921,0.8660254037883692,-0.6123172360880303,-0.7906121693912354
992.56,17.0,69.75,-0.2888314078792162,-0.9050284071909067,0.5372996083374065,0.8433914458188853,-0.6124116811969643,-0.7905390140489638
992.47,16.98,69.98,-0.20044116956928468,-1.0408762354582304,0.5735764363511123,0.8191520442889454,-0.6125061175658144,-0.7904658474244493
992.41,16.91,70.3,-0.3588489507073039,-1.1450883942195322,0.6087614290061628,0.7933533402931978,-0.612600545193188,-0.7903926695187709
992.42,16.86,70.6,-0.3469065685936929,-1.242479711168979,0.6427876096815378,0.7660444431231748,-0.612694964077827,-0.7903194803329033
992.4,16.78,71.1,-0.6647718061396808,-1.1749801895188645,0.6755902076084099,0.7372773368167678,-0.6127893742183391,-0.790246279867926
992.35,16.71,71.4,-0.6161203261077941,-1.4874460473431719,0.7071067811875467,0.7071067811855484,-0.6128837756133322,-0.7901730681249183
992.43,16.66,71.8,-0.6163928732179172,-1.6057583335751868,0.7372773368088459,0.6755902076170551,-0.6129781682615487,-0.7900998451048554
992.42,16.58,72.4,-0.4617039733183481,-1.311079494547165,0.7660444431156375,0.6427876096905204,-0.6130725521615965,-0.7900266108088173
992.44,16.52,72.7,-0.522182895606133,-1.2989707554584877,0.7933533402860595,0.6087614290154657,-0.6131669273120838,-0.789953365237884
992.4,16.47,72.8,-0.7117891253826502,-1.5987045508745517,0.8191520442822197,0.5735764363607178,-0.6132612937117535,-0.789880108393031
992.32,16.41,73.0,-0.5643363947090486,-1.3897929463077558,0.8433914458125849,0.5372996083472961,-0.613355651359214,-0.7898068402753387
992.32,16.36,73.1,-0.6181008791362552,-1.529853360035199,0.8660254037825063,0.5000000000033471,-0.6134500002530736,-0.7897335608858876
992.27,16.31,73.4,-0.7160349839728899,-1.5858417013456745,0.887010833174911,0.46174861324139366,-0.6135443403920757,-0.7896602702256539
992.21,16.25,73.8,-0.49492008650671854,-1.4054017603419253,0.9063077870322231,0.42261826175019285,-0.613638671774829,-0.7895869682957183
992.27,16.16,74.5,-0.5260453761468933,-1.078552855559,0.9238795325115823,0.3826834323643764,-0.6137329943999424,-0.7895136550971619
992.31,16.07,75.2,-0.8275010724405439,-0.327630851889363,0.9396926207850421,0.3420201433280488,-0.6138273082661595,-0.7894403306309611
992.38,16.07,74.9,0.04606733564730143,1.3191958916652065,0.9537169507464714,0.3007057995098407,-0.6139216133720894,-0.7893669948981974
992.44,15.96,72.1,1.7248673018691285,1.333128947605112,0.965925826286702,0.25881904511135195,-0.6140159097163413,-0.7892936478999523
992.53,15.81,71.0,1.6133958129949146,0.9454384964715996,0.9762960071172392,0.21643961395025552,-0.6141101972976593,-0.7892202896372026
992.56,15.73,71.5,0.756169944136146,0.6075417809378526,0.9848077530119995,0.17364817766811286,-0.6142044761146528,-0.7891469201110304
992.57,15.8,71.6,-0.3345186379699724,-0.6034875979261831,0.9914448613732223,0.13052619222451875,-0.6142987461659764,-0.7890735393224826
992.64,15.72,72.4,0.02121931416865652,-0.6396481382027246,0.9961946980910648,0.08715574275543914,-0.6143930074502396,-0.7890001472726413
992.67,15.59,72.8,-0.1619936596874586,-0.6088169299724374,0.9990482215813729,0.04361938737644106,-0.6144872599661871,-0.7889267439624844
992.8,15.5,71.8,0.35177565458700905,-0.616728375251116,1.0,-1.3131111283079986e-13,-0.6145815037124289,-0.7888533293930943
992.8,15.41,71.2,0.44639604206886346,-1.1568623831836065,0.9990482215819962,-0.04361938736216537,-0.6146757386875752,-0.7887799035655535
992.82,15.31,70.5,0.0713840331399034,-1.3180684048305995,0.9961946980923102,-0.08715574274120422,-0.6147699648903705,-0.7887064664808401
992.89,15.26,70.4,-0.22579836860000232,-1.4930221353809787,0.9914448613750875,-0.13052619221035172,-0.6148641823194255,-0.7886330181400372
992.87,15.32,70.1,0.07815010699042793,-1.3978170698547734,0.984807753011954,-0.17364817766837148,-0.6149583909733507,-0.7885595585442279
992.82,15.54,69.66,0.33740992027906325,-0.7910464876966942,0.9762960071203319,-0.21643961393630495,-0.6150525908508911,-0.7884860876943907
992.79,15.61,69.47,0.15389234304698582,-0.6828741807620996,0.9659258262904004,-0.25881904509754955,-0.6151467819506576,-0.788412605591609
992.81,15.56,70.1,0.5162187927159415,-0.7372368398600926,0.9537169507507683,-0.3007057994962128,-0.6152409642712612,-0.7883391122369666
992.81,15.72,70.4,0.687445126141304,0.245599671303865,0.9396926207899293,-0.34202014331462127,-0.6153351378114472,-0.7882656076314425
992.87,16.3,68.52,1.258923148010489,0.5652543740683129,0.9238795325114817,-0.38268343236461905,-0.615429302569827,-0.7881920917761205
993.02,15.77,70.4,1.6953033470226375,0.812617106375347,0.906307787038262,-0.4226182617372423,-0.6155234585450117,-0.7881185646720849
993.08,15.65,70.2,1.208858160367972,0.45029095939377106,0.8870108331815091,-0.4617486132287189,-0.6156176057357473,-0.788045026320315
993.24,15.92,67.68,0.561123334750661,-0.45115474418241197,0.8660254037896509,-0.49999999999097217,-0.6157117441406453,-0.7879714767218954
993.41,15.86,67.42,-0.44741030738338017,-1.0049000034068611,0.8433914458124437,-0.5372996083475176,-0.6158058737583175,-0.7878979158779106
993.59,15.55,69.32,-0.06792555181229062,-1.1780433436045534,0.8191520442904157,-0.5735764363490126,-0.61589999458751,-0.7878243437893406
993.67,14.98,73.1,-0.526800885831592,-1.3723632269508863,0.7933533402947583,-0.6087614290041292,-0.6159941066268348,-0.7877507604572703
993.69,14.63,75.9,-0.8080003502597083,-1.6864268243775622,0.7660444431248224,-0.6427876096795742,-0.616088209874904,-0.7876771658827849
993.75,14.62,78.4,-0.9175106700232858,-1.2863025190029838,0.7372773368184995,-0.67559020760652,-0.6161823043304641,-0.7876035600668647
993.74,14.75,77.3,-0.8769502882943896,-1.0525484273231267,0.7071067811873609,-0.7071067811857341,-0.6162763899921275,-0.7875299430105951
993.78,14.87,76.8,-0.7458695377023891,-1.48299650462421,0.6755902076189451,-0.737277336807114,-0.6163704668585067,-0.7874563147150618
993.73,14.8,76.3,-1.10301601868639,-1.4852123291035617,0.642787609692484,-0.7660444431139898,-0.6164645349283485,-0.7873826751812456
993.53,14.83,77.3,-0.4937029130036136,-0.6672011943122901,0.6087614290174993,-0.7933533402844991,-0.6165585942002657,-0.7873090244102324
993.43,14.99,77.0,-0.7411061643903952,-0.7008292610205117,0.5735764363508973,-0.819152044289096,-0.6166526446728713,-0.7872353624031085
993.42,14.96,76.9,-0.8216742117604535,-0.81881102198727,0.537299608349458,-0.8433914458112076,-0.6167466863449124,-0.7871616891608549
993.42,15.08,77.0,-1.232821188441263,-1.0198783835979035,0.500000000005567,-0.8660254037812245,-0.616840719215002,-0.7870880046845581
993.47,15.23,76.5,-1.0758649694146438,-0.9721185974902586,0.4617486132436674,-0.8870108331737274,-0.6169347432817984,-0.7870143089752698
993.56,15.41,75.2,-1.0593120776700216,-0.5847716837385529,0.422618261752516,-0.9063077870311398,-0.6170287585439148,-0.7869406020340768
993.54,15.87,73.9,-0.41965881918676423,-0.33983301116691234,0.3826834323667446,-0.9238795325106013,-0.6171227650000991,-0.7868668838619608
993.59,16.28,68.95,0.7272589595182648,-0.5130247613911155,0.34202014333045755,-0.9396926207841654,-0.6172167626489647,-0.786793154460009
993.65,16.57,66.39,0.4499513267805774,-0.5362311101832846,0.30070579951228543,-0.9537169507457006,-0.6173107514891255,-0.7867194138293087
993.61,16.92,64.93,0.5477818055882877,-0.311183375948066,0.258819045113828,-0.9659258262860385,-0.6174047315193296,-0.7866456619708422
993.54,17.12,63.65,1.2096641405637807,0.02850731544866828,0.21643961393855113,-0.976296007119834,-0.6174987027381911,-0.786571898885697
993.46,16.87,64.19,0.5297388781721674,0.8363472490257223,0.17364817767063725,-0.9848077530115544,-0.617592665144324,-0.786498124574961
993.41,17.46,61.97,-1.525751674326023,-0.2090019815488292,0.13052619222706016,-0.9914448613728877,-0.6176866187364768,-0.786424339039617
993.25,17.67,60.1,-0.9058105405141328,0.08721963479340376,0.08715574275799272,-0.9961946980908414,-0.617780563513264,-0.7863505422807529
993.09,17.68,58.78,-0.7172454799185624,-0.8731889380520066,0.0436193873644639,-0.9990482215818959,-0.6178744994733001,-0.786276734299457
993.02,18.16,56.48,-1.290716319637119,-1.0753842951347252,2.432033038763719e-12,-1.0,-0.6179684266153338,-0.7862029150967127
992.93,18.23,56.29,-2.4522518381860423,-1.0561064918431171,-0.04361938735960447,-0.999048221582108,-0.6180623449379801,-0.7861290846736084
992.8,18.18,55.07,-2.2056454160029,-2.7432696365587894,-0.08715574273865062,-0.9961946980925336,-0.6181562544398537,-0.7860552430312331
992.82,18.23,55.46,-1.3582982910889485,-1.9543351177382147,-0.1305261922078103,-0.991444861375422,-0.6182501551197039,-0.7859813901705701
992.85,18.17,55.34,-1.3782116563991433,-1.7019496555907667,-0.1736481776658471,-0.9848077530123991,-0.618344046976146,-0.7859075260927088
992.81,17.99,57.4,-2.0186974667200683,-1.0598398642521318,-0.21643961393380237,-0.9762960071208868,-0.6184379300077951,-0.7858336507987383
992.73,18.41,55.59,-1.760755342819438,-0.7655982123364728,-0.2588190450950736,-0.9659258262910637,-0.6185318042134009,-0.7857597642896428
992.58,18.28,55.54,-2.1488959106552294,-0.5959415786545126,-0.3007057994937681,-0.9537169507515392,-0.6186256695915789,-0.7856858665665118
992.46,18.48,53.79,-1.775831128626393,-1.2296437706106234,-0.3420201433258868,-0.939692620785829,-0.6187195261409448,-0.7856119576304352
992.45,19.25,49.97,-1.5381238038591787,-1.4443943935095325,-0.38268343236225083,-0.9238795325124627,-0.6188133738602485,-0.7855380374823974
992.57,18.96,49.71,0.3947018013756946,-1.291011420550098,-0.4226182617349192,-0.9063077870393453,-0.6189072127481059,-0.7854641061234885
992.48,19.08,49.67,1.3614114859325452,0.87804257639988,-0.46174861322644517,-0.8870108331826927,-0.6190010428031333,-0.7853901635547988
